"id","startdate","enddate","duration_in_seconds","q1","q2","q3","q3_other","q4","q4_88_text","q5_1","q6_h","q6_m","q7_h","q7_m","q8_1","q8_2","q8_3","q8_4","q8_5","q8_6","q8_88","q8_88_text","q8_90","q9_1","q9_2","q9_3","q9_4","q9_5","q9_6","q9_7","q9_8","q9_88","q9_88_text","q9_90","q10_1","q10_2","q10_3","q10_4","q10_5","q10_6","q10_7","q10_8","q10_9","q10_10","q10_88","q10_88_text","q10_90","q11_1","q11_2","q11_3","q11_4","q11_5","q11_6","q11_7","q11_8","q11_88","q11_88_text","q11_90","q12_1","q12_2","q12_3","q12_4","q12_5","q12_6","q12_7","q12_8","q12_8_text","q12_9","q13_01_1","q13_02_1","q13_02_2","q13_02_3","q13_02_4","q13_02_5","q13_02_6","q13_02_7","q13_02_8","q13_02_8_text","q13_02_9","q13_02_10","q13_03_1","q13_03_2","q13_03_3","q13_03_4","q13_03_5","q13_03_5_text","q13_03_6","q13_03_7","q13_04_1","q13_04_2","q13_04_3","q13_04_4","q13_04_5","q13_04_6","q13_04_7","q13_04_8","q13_04_8_text","q13_04_9","q13_04_10","q13_05_1","q13_05_2","q13_05_3","q13_05_4","q13_05_5","q13_05_5_text","q13_05_6","q13_05_7","q14_01_1","q14_01_2","q14_01_3","q14_01_4","q14_01_5","q14_01_5_text","q14_02_1","q14_02_2","q14_02_3","q14_02_4","q14_02_5","q14_02_5_text","q14_03_1","q14_03_2","q14_03_3","q14_03_4","q14_03_4_text","q15_01","q15_02_1","q15_02_2","q15_02_3","q15_02_4","q15_02_5","q15_02_6","q15_02_7","q15_02_8","q15_02_9","q15_02_10","q15_02_11","q15_02_12","q15_02_13","q15_02_13_text","q15_03_1","q16","q17_01","q17_02","q18","q19_01","q19_02","q20_01_1","q20_02_1","q21a_1","q21a_2","q21a_3","q21a_4","q21a_5","q21a_6","q21a_6_text","q22_01_1","q22_02_1","q22_03_1","q22_04_1","q22_05_1","q23_01_1","q23_02_1","q23_03_1","q23_04_1","q23_05_1","q24_01_1","q24_02_1","q24_03_1","q24_04_1","q24_05_1","q25_01_1","q25_02_1","q25_03_1","q25_04_1","q26_01_1","q26_02_1","q26_03_1","q27_1","q28_1","q28_2","q28_3","q28_4","q28_4_text","q28_5","q29_1","q29_2","q29_3","q29_4","q29_5","q29_5_text","q30_1","q31_1","q32_1","q33_1","q34_1","q35_1","q36_1","q37a","q38_01_1","q38_02_1","q39_1","q40_1","q41_1","q42_1","rq21a","rq37a","qrq2","rrq2","weight","r"
"1050223",2021-07-10 17:57:48,2021-07-10 18:22:19,1471,1,57,2,"",10,"",7,8,30,4,0,1,1,1,1,1,1,NA,"",NA,1,1,NA,1,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",NA,1,1,1,1,1,1,1,NA,"",NA,3,1,1,1,1,1,1,1,NA,"",NA,NA,1,1,1,1,NA,"",NA,NA,1,1,1,1,1,1,1,NA,"",NA,NA,NA,1,1,1,NA,"",NA,NA,1,NA,1,1,NA,"",1,1,1,1,NA,"",1,1,1,NA,"",1,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,"",2,2,NA,NA,2,NA,NA,2,2,1,1,1,1,1,1,"已讀",3,3,3,3,3,1,1,2,2,2,3,4,2,3,2,2,2,2,3,3,3,3,4,1,1,NA,NA,"",NA,1,NA,NA,1,NA,"",4,3,4,3,3,3,3,5,3,3,2,40,36,5,1,1,53,4,0.905354164522129,1
"1050230",2021-06-24 16:25:01,2021-06-26 15:46:22,170480,1,69,14,"",19,"",7,8,0,2,0,1,1,1,1,1,1,NA,"",NA,1,NA,NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,1,1,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,1,1,NA,NA,"",NA,2,1,NA,NA,NA,NA,NA,NA,1,"批評言論",NA,NA,NA,NA,NA,1,NA,"",NA,NA,1,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,"",1,1,1,NA,NA,"",1,1,NA,NA,"",1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"",2,2,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,"已讀",3,3,4,3,4,1,1,1,1,2,4,4,4,2,4,1,1,1,1,3,3,3,1,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,4,3,4,50,50,3,1,1,41,3,0.426374903416545,1
"1050231",2021-07-09 18:01:00,2021-07-09 18:12:26,686,1,90,2,"",19,"",7,5,0,3,0,1,1,1,1,1,1,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,1,NA,1,1,NA,NA,"",NA,3,1,1,NA,1,NA,1,NA,NA,"",NA,NA,1,1,1,1,NA,"",NA,NA,1,1,NA,1,1,1,1,NA,"",NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",1,1,1,NA,NA,"",1,1,NA,NA,"",1,1,NA,1,1,1,1,1,1,1,NA,1,NA,NA,"",2,2,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,"已讀",3,3,3,4,3,2,2,1,1,3,3,4,3,3,4,4,3,3,2,4,4,4,3,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,4,3,4,40,25,5,1,1,20,1,0.395769490134128,1
"1060105",2021-06-23 12:13:32,2021-06-23 12:29:46,974,2,64,2,"",20,"",7,1,0,9,15,1,1,1,1,1,1,NA,"",NA,1,1,NA,NA,NA,NA,NA,1,NA,"",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,"MeWe",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,1,1,1,NA,NA,"",NA,2,1,1,1,1,1,1,1,1,"引起對立,政治操作,謬誤,為反而反",NA,NA,NA,NA,NA,1,NA,"",NA,NA,1,NA,NA,1,1,1,1,NA,"",NA,NA,NA,NA,1,NA,1,"浪費網路流量",NA,NA,NA,1,NA,1,NA,"",1,NA,1,NA,NA,"",1,NA,NA,NA,"",1,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,1,NA,"",4,2,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,"已讀",4,3,3,3,3,2,2,1,1,2,2,3,1,3,4,3,3,3,3,4,3,3,5,1,1,NA,NA,"",NA,1,1,NA,1,NA,"",4,3,2,4,1,3,1,5,3,3,3,0,75,0,1,1,46,3,0.263117587480505,1
"1060206",2021-06-26 12:31:29,2021-06-26 13:19:50,2900,2,36,24,"大陸",19,"",7,2,30,3,0,1,1,1,1,1,NA,NA,"",NA,1,NA,NA,NA,NA,NA,1,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,1,NA,1,NA,NA,"",NA,4,NA,NA,NA,1,1,NA,NA,NA,"",NA,NA,1,1,NA,NA,NA,"",NA,NA,1,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,1,1,NA,NA,"",NA,NA,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,"",1,1,NA,NA,"",1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,2,NA,NA,2,NA,NA,1,1,1,1,1,1,1,NA,"",1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,1,1,1,1,1,1,1,3,NA,1,NA,NA,"",NA,NA,1,NA,1,NA,"",2,1,2,3,1,1,1,5,3,2,2,55,5,5,2,1,74,6,2.07311211076688,1
"1060209",2021-07-11 09:07:06,2021-07-11 09:24:47,1060,1,50,2,"",7,"",7,1,10,1,0,1,1,1,1,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",1,NA,1,1,1,1,1,1,NA,NA,"",NA,NA,1,1,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,"",2,2,NA,NA,2,NA,NA,3,1,NA,NA,NA,NA,NA,1,"已讀",1,1,1,1,1,1,1,1,1,1,2,4,2,2,2,3,3,3,3,1,1,1,4,1,1,NA,NA,"",NA,NA,NA,NA,1,NA,"",4,1,3,2,1,1,1,5,4,2,4,18,18,5,1,1,60,5,4.90942841626038,1
"1060220",2021-07-10 05:32:43,2021-07-10 05:52:05,1161,2,79,9,"",19,"",7,8,0,4,0,1,1,1,1,1,1,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,NA,NA,1,NA,NA,"",NA,3,1,1,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,"",NA,NA,1,1,1,1,1,1,1,NA,"",NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,1,NA,NA,"",1,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,"",4,2,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,"已讀",4,4,4,4,4,1,1,1,1,1,2,3,1,2,3,1,1,1,1,4,4,4,4,NA,1,NA,NA,"",NA,1,NA,NA,1,NA,"",4,4,4,2,2,5,2,5,4,3,4,41,60,0,1,1,31,2,0.270586132143107,1
"1060221",2021-07-04 12:00:03,2021-07-04 12:09:58,594,2,62,4,"",16,"",7,2,0,5,0,1,1,1,1,1,1,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,1,NA,1,1,NA,"",NA,4,1,1,1,1,1,1,1,NA,"",NA,NA,1,1,NA,1,NA,"",NA,NA,1,1,1,1,1,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,1,1,1,NA,"",NA,NA,NA,NA,NA,"",1,1,NA,NA,"",1,NA,1,1,1,1,NA,1,1,1,NA,NA,1,NA,"",3,2,NA,NA,2,NA,NA,1,1,1,1,1,1,1,NA,"",3,3,3,3,3,1,1,1,1,1,4,4,3,3,3,2,2,2,2,4,4,4,5,1,1,NA,NA,"",NA,1,NA,NA,1,NA,"",2,3,4,1,1,1,1,5,4,4,4,53,53,5,2,1,48,3,0.316262124407712,1
"1060228",2021-06-23 12:13:29,2021-06-23 12:59:59,2790,2,56,2,"",19,"",7,1,30,7,0,1,1,1,1,1,NA,NA,"",NA,1,1,1,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,1,1,NA,NA,NA,"",NA,4,1,1,1,1,NA,1,NA,NA,"",NA,NA,1,1,NA,1,NA,"",NA,NA,1,NA,NA,1,NA,1,NA,NA,"",NA,NA,NA,1,1,NA,NA,"",NA,NA,NA,1,1,NA,NA,"",1,NA,1,NA,NA,"",NA,NA,NA,NA,"",1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,NA,NA,2,NA,NA,2,2,1,NA,1,1,1,1,"已讀",3,2,2,2,2,1,1,1,1,1,3,3,1,3,2,1,1,4,3,3,3,3,4,1,NA,NA,NA,"",NA,NA,NA,NA,1,NA,"",4,3,4,3,3,4,3,5,4,2,3,80,20,5,1,1,54,4,0.419498060432898,1
"1080110",2021-06-23 15:10:48,2021-06-23 15:31:37,1248,1,46,1,"",19,"",7,2,30,3,0,1,1,1,1,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,NA,NA,1,NA,NA,"",NA,3,NA,NA,NA,1,NA,1,NA,NA,"",NA,NA,1,1,NA,1,NA,"",NA,NA,1,NA,NA,1,NA,NA,1,NA,"",NA,NA,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,1,1,NA,"",1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,"",1,2,NA,NA,2,NA,NA,3,1,1,1,1,1,1,1,"已讀",3,3,3,3,4,1,1,1,2,2,3,3,2,3,3,2,2,4,3,4,4,3,4,1,1,1,NA,"",NA,1,1,NA,1,NA,"",3,3,3,4,1,3,3,5,2,1,2,65,40,8,1,1,64,5,0.829339562188904,1
